id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-sol-repository-0-bare,repository,bare,1,14780,0,151,25,14931
gpt-6-sol-repository-0-bare,repository,bare,2,15264,14592,92,21,15356
gpt-6-sol-repository-0-bare,repository,bare,3,17988,0,128,17,18116
gpt-6-sol-repository-0-bare,repository,bare,4,18690,17792,1406,194,20096
gpt-6-sol-repository-0-bare,repository,bare,5,20120,18560,290,47,20410
gpt-6-sol-repository-0-bare,repository,bare,6,21628,15104,270,97,21898
gpt-6-sol-repository-0-combined,repository,combined,1,15794,0,80,16,15874
gpt-6-sol-repository-0-combined,repository,combined,2,16507,15616,155,0,16662
gpt-6-sol-repository-0-combined,repository,combined,3,20584,16384,56,10,20640
gpt-6-sol-repository-0-combined,repository,combined,4,22181,20480,167,15,22348
gpt-6-sol-repository-0-combined,repository,combined,5,22897,22016,1227,112,24124
gpt-6-sol-repository-0-combined,repository,combined,6,24148,22784,220,19,24368
gpt-6-sol-repository-0-combined,repository,combined,7,24414,24064,160,0,24574
gpt-6-sol-semantic-0-combined,semantic,combined,1,15744,0,189,11,15933
gpt-6-sol-semantic-0-combined,semantic,combined,2,23209,15616,50,21,23259
gpt-6-sol-semantic-0-combined,semantic,combined,3,23892,23040,151,0,24043
gpt-6-sol-semantic-0-combined,semantic,combined,4,34720,23808,659,399,35379
gpt-6-sol-semantic-0-combined,semantic,combined,5,36033,34560,279,12,36312
gpt-6-sol-semantic-0-combined,semantic,combined,6,36336,35840,286,61,36622
gpt-6-sol-semantic-0-combined,semantic,combined,7,36700,36224,77,0,36777
gpt-6-sol-semantic-0-bare,semantic,bare,1,14701,8320,240,22,14941
gpt-6-sol-semantic-0-bare,semantic,bare,2,15100,14464,97,9,15197
gpt-6-sol-semantic-0-bare,semantic,bare,3,22962,14976,107,54,23069
gpt-6-sol-semantic-0-bare,semantic,bare,4,23093,22784,358,13,23451
gpt-6-sol-semantic-0-bare,semantic,bare,5,24991,22912,140,117,25131
gpt-6-sol-semantic-0-bare,semantic,bare,6,25188,24832,754,402,25942
gpt-6-sol-semantic-0-bare,semantic,bare,7,25966,24960,197,20,26163
gpt-6-sol-semantic-0-bare,semantic,bare,8,26779,25728,488,362,27267
gpt-6-sol-semantic-0-bare,semantic,bare,9,27291,26624,227,21,27518
gpt-6-sol-semantic-0-bare,semantic,bare,10,27586,27136,122,0,27708
gpt-6-sol-repository-1-combined,repository,combined,1,15789,0,83,14,15872
gpt-6-sol-repository-1-combined,repository,combined,2,16505,15616,160,8,16665
gpt-6-sol-repository-1-combined,repository,combined,3,19495,16384,93,12,19588
gpt-6-sol-repository-1-combined,repository,combined,4,20411,19328,109,11,20520
gpt-6-sol-repository-1-combined,repository,combined,5,20617,20224,147,0,20764
gpt-6-sol-repository-1-combined,repository,combined,6,21214,20480,194,17,21408
gpt-6-sol-repository-1-combined,repository,combined,7,21725,21120,132,38,21857
gpt-6-sol-repository-1-combined,repository,combined,8,21958,21632,93,0,22051
gpt-6-sol-repository-1-combined,repository,combined,9,22173,21760,1027,111,23200
gpt-6-sol-repository-1-combined,repository,combined,10,23224,22016,125,16,23349
gpt-6-sol-repository-1-combined,repository,combined,11,23413,23040,216,52,23629
gpt-6-sol-repository-1-combined,repository,combined,12,23660,23296,169,0,23829
gpt-6-sol-repository-1-bare,repository,bare,1,14775,8320,158,24,14933
gpt-6-sol-repository-1-bare,repository,bare,2,15632,14592,207,10,15839
gpt-6-sol-repository-1-bare,repository,bare,3,23797,15488,58,9,23855
gpt-6-sol-repository-1-bare,repository,bare,4,23953,23680,120,0,24073
gpt-6-sol-repository-1-bare,repository,bare,5,24632,23808,244,31,24876
gpt-6-sol-repository-1-bare,repository,bare,6,25125,24448,1553,287,26678
gpt-6-sol-repository-1-bare,repository,bare,7,26702,24960,305,35,27007
gpt-6-sol-repository-1-bare,repository,bare,8,28049,26496,273,108,28322
gpt-6-sol-semantic-1-bare,semantic,bare,1,14708,8320,259,36,14967
gpt-6-sol-semantic-1-bare,semantic,bare,2,15238,14592,228,23,15466
gpt-6-sol-semantic-1-bare,semantic,bare,3,21965,15104,174,116,22139
gpt-6-sol-semantic-1-bare,semantic,bare,4,22168,21760,238,15,22406
gpt-6-sol-semantic-1-bare,semantic,bare,5,23714,22016,899,516,24613
gpt-6-sol-semantic-1-bare,semantic,bare,6,24637,23552,377,43,25014
gpt-6-sol-semantic-1-bare,semantic,bare,7,25397,24448,321,244,25718
gpt-6-sol-semantic-1-combined,semantic,combined,1,15732,9088,184,7,15916
gpt-6-sol-semantic-1-combined,semantic,combined,2,24273,15616,205,44,24478
gpt-6-sol-semantic-1-combined,semantic,combined,3,25782,24064,335,34,26117
gpt-6-sol-semantic-1-combined,semantic,combined,4,26141,25600,156,16,26297
gpt-6-sol-semantic-1-combined,semantic,combined,5,26544,25984,87,0,26631
