id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-astra-cross_file-0-bare,cross_file,bare,1,15140,0,105,0,15245
gpt-6-astra-cross_file-0-bare,cross_file,bare,2,15364,14976,118,0,15482
gpt-6-astra-cross_file-0-bare,cross_file,bare,3,16086,15232,2903,336,18989
gpt-6-astra-cross_file-0-bare,cross_file,bare,4,22849,15872,692,75,23541
gpt-6-astra-cross_file-0-bare,cross_file,bare,5,24575,22656,904,60,25479
gpt-6-astra-cross_file-0-bare,cross_file,bare,6,25565,24448,81,0,25646
gpt-6-astra-cross_file-0-combined,cross_file,combined,1,16065,0,108,0,16173
gpt-6-astra-cross_file-0-combined,cross_file,combined,2,16993,15872,40,0,17033
gpt-6-astra-cross_file-0-combined,cross_file,combined,3,17585,16896,784,126,18369
gpt-6-astra-cross_file-0-combined,cross_file,combined,4,18393,17408,1407,0,19800
gpt-6-astra-cross_file-0-combined,cross_file,combined,5,20046,18304,735,20,20781
gpt-6-astra-cross_file-0-combined,cross_file,combined,6,21115,19840,71,0,21186
gpt-6-astra-incident-0-combined,incident,combined,1,16188,16000,177,0,16365
gpt-6-astra-incident-0-combined,incident,combined,2,17207,16000,82,0,17289
gpt-6-astra-incident-0-combined,incident,combined,3,18115,17024,185,13,18300
gpt-6-astra-incident-0-combined,incident,combined,4,28885,17920,89,0,28974
gpt-6-astra-incident-0-combined,incident,combined,5,29297,28800,916,0,30213
gpt-6-astra-incident-0-combined,incident,combined,6,30291,29184,82,0,30373
gpt-6-astra-incident-0-bare,incident,bare,1,15267,0,104,0,15371
gpt-6-astra-incident-0-bare,incident,bare,2,15471,0,33,0,15504
gpt-6-astra-incident-0-bare,incident,bare,3,25952,15232,94,0,26046
gpt-6-astra-incident-0-bare,incident,bare,4,26369,25728,1119,0,27488
gpt-6-astra-incident-0-bare,incident,bare,5,27577,26240,72,0,27649
gpt-6-astra-semantic-0-bare,semantic,bare,1,15144,0,101,0,15245
gpt-6-astra-semantic-0-bare,semantic,bare,2,15343,14976,35,0,15378
gpt-6-astra-semantic-0-bare,semantic,bare,3,23378,15104,198,0,23576
gpt-6-astra-semantic-0-bare,semantic,bare,4,24897,23168,682,42,25579
gpt-6-astra-semantic-0-bare,semantic,bare,5,25663,24704,48,0,25711
gpt-6-astra-semantic-0-combined,semantic,combined,1,16072,0,180,0,16252
gpt-6-astra-semantic-0-combined,semantic,combined,2,17091,15872,80,0,17171
