id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-sol-cross_file-0-bare,cross_file,bare,1,14697,8320,247,19,14944
gpt-6-sol-cross_file-0-bare,cross_file,bare,2,14978,14464,184,7,15162
gpt-6-sol-cross_file-0-bare,cross_file,bare,3,15505,14848,262,11,15767
gpt-6-sol-cross_file-0-bare,cross_file,bare,4,16346,15360,1303,674,17649
gpt-6-sol-cross_file-0-bare,cross_file,bare,5,17673,16128,1795,469,19468
gpt-6-sol-cross_file-0-bare,cross_file,bare,6,19492,17536,232,9,19724
gpt-6-sol-cross_file-0-bare,cross_file,bare,7,20636,19328,797,364,21433
gpt-6-sol-cross_file-0-bare,cross_file,bare,8,21457,20480,250,76,21707
gpt-6-sol-cross_file-0-bare,cross_file,bare,9,22095,21248,214,28,22309
gpt-6-sol-cross_file-0-routing,cross_file,routing,1,14698,8320,167,12,14865
gpt-6-sol-cross_file-0-routing,cross_file,routing,2,15044,14464,141,8,15185
gpt-6-sol-cross_file-0-routing,cross_file,routing,3,15950,14848,1354,799,17304
gpt-6-sol-cross_file-0-routing,cross_file,routing,4,17328,15744,1736,535,19064
gpt-6-sol-cross_file-0-routing,cross_file,routing,5,19088,17152,257,137,19345
gpt-6-sol-cross_file-0-routing,cross_file,routing,6,20274,18944,615,209,20889
gpt-6-sol-cross_file-0-routing,cross_file,routing,7,20913,20096,539,405,21452
gpt-6-sol-cross_file-0-routing,cross_file,routing,8,21476,20736,154,48,21630
gpt-6-sol-cross_file-0-routing,cross_file,routing,9,22272,21248,172,39,22444
gpt-6-sol-cross_file-0-evidence,cross_file,evidence,1,15615,9088,285,35,15900
gpt-6-sol-cross_file-0-evidence,cross_file,evidence,2,17000,15488,163,31,17163
gpt-6-sol-cross_file-0-evidence,cross_file,evidence,3,17900,16768,1223,686,19123
gpt-6-sol-cross_file-0-evidence,cross_file,evidence,4,19147,17664,1677,564,20824
gpt-6-sol-cross_file-0-evidence,cross_file,evidence,5,20848,18944,157,22,21005
gpt-6-sol-cross_file-0-evidence,cross_file,evidence,6,21939,20608,653,245,22592
gpt-6-sol-cross_file-0-evidence,cross_file,evidence,7,22616,21760,176,96,22792
gpt-6-sol-cross_file-0-evidence,cross_file,evidence,8,23254,22400,197,13,23451
gpt-6-sol-cross_file-0-combined,cross_file,combined,1,15629,0,279,38,15908
gpt-6-sol-cross_file-0-combined,cross_file,combined,2,17006,15488,237,90,17243
gpt-6-sol-cross_file-0-combined,cross_file,combined,3,17942,16768,1354,868,19296
gpt-6-sol-cross_file-0-combined,cross_file,combined,4,19320,17792,2374,539,21694
gpt-6-sol-cross_file-0-combined,cross_file,combined,5,21718,19200,220,48,21938
gpt-6-sol-cross_file-0-combined,cross_file,combined,6,22882,21504,333,150,23215
gpt-6-sol-cross_file-0-combined,cross_file,combined,7,23239,22656,217,79,23456
gpt-6-sol-incident-0-evidence,incident,evidence,1,15729,0,248,34,15977
gpt-6-sol-incident-0-evidence,incident,evidence,2,17055,15488,146,30,17201
gpt-6-sol-incident-0-evidence,incident,evidence,3,17668,16896,242,78,17910
gpt-6-sol-incident-0-evidence,incident,evidence,4,21744,17536,736,136,22480
gpt-6-sol-incident-0-evidence,incident,evidence,5,22504,21504,354,33,22858
gpt-6-sol-incident-0-evidence,incident,evidence,6,23454,22272,154,0,23608
gpt-6-sol-incident-0-bare,incident,bare,1,14812,8320,229,12,15041
gpt-6-sol-incident-0-bare,incident,bare,2,15182,14592,109,37,15291
gpt-6-sol-incident-0-bare,incident,bare,3,25697,14976,60,12,25757
gpt-6-sol-incident-0-bare,incident,bare,4,26013,25472,671,132,26684
gpt-6-sol-incident-0-bare,incident,bare,5,26708,25856,438,50,27146
gpt-6-sol-incident-0-bare,incident,bare,6,27667,26496,250,86,27917
gpt-6-sol-incident-0-combined,incident,combined,1,15736,0,316,56,16052
gpt-6-sol-incident-0-combined,incident,combined,2,19671,15616,228,49,19899
gpt-6-sol-incident-0-combined,incident,combined,3,20659,0,532,37,21191
gpt-6-sol-incident-0-combined,incident,combined,4,21215,20480,250,22,21465
gpt-6-sol-incident-0-combined,incident,combined,5,21754,20992,155,0,21909
gpt-6-sol-incident-0-routing,incident,routing,1,14812,8320,243,12,15055
gpt-6-sol-incident-0-routing,incident,routing,2,15212,14592,90,7,15302
gpt-6-sol-incident-0-routing,incident,routing,3,25785,14976,97,9,25882
gpt-6-sol-incident-0-routing,incident,routing,4,26138,25600,747,110,26885
gpt-6-sol-incident-0-routing,incident,routing,5,26909,0,324,13,27233
gpt-6-sol-incident-0-routing,incident,routing,6,27802,26752,152,0,27954
gpt-6-sol-repository-0-combined,repository,combined,1,15703,0,154,41,15857
gpt-6-sol-repository-0-combined,repository,combined,2,16718,15488,228,18,16946
gpt-6-sol-repository-0-combined,repository,combined,3,25086,16512,344,78,25430
gpt-6-sol-repository-0-combined,repository,combined,4,26246,24960,199,42,26445
gpt-6-sol-repository-0-combined,repository,combined,5,26859,26112,1283,198,28142
gpt-6-sol-repository-0-combined,repository,combined,6,28166,26624,350,84,28516
gpt-6-sol-repository-0-combined,repository,combined,7,29444,28032,201,38,29645
gpt-6-sol-repository-0-evidence,repository,evidence,1,15696,0,259,45,15955
gpt-6-sol-repository-0-evidence,repository,evidence,2,17668,15488,217,27,17885
gpt-6-sol-repository-0-evidence,repository,evidence,3,23825,9088,199,19,24024
gpt-6-sol-repository-0-evidence,repository,evidence,4,24573,23680,224,13,24797
gpt-6-sol-repository-0-evidence,repository,evidence,5,25570,24448,47,8,25617
gpt-6-sol-repository-0-evidence,repository,evidence,6,25676,25344,1532,179,27208
gpt-6-sol-repository-0-evidence,repository,evidence,7,27232,25472,454,89,27686
gpt-6-sol-repository-0-evidence,repository,evidence,8,28210,27008,256,77,28466
gpt-6-sol-repository-0-routing,repository,routing,1,14774,8320,215,32,14989
gpt-6-sol-repository-0-routing,repository,routing,2,15920,14592,161,8,16081
gpt-6-sol-repository-0-routing,repository,routing,3,23411,15744,180,10,23591
gpt-6-sol-repository-0-routing,repository,routing,4,24098,23296,233,8,24331
gpt-6-sol-repository-0-routing,repository,routing,5,25329,23936,1553,210,26882
gpt-6-sol-repository-0-routing,repository,routing,6,26906,25088,426,49,27332
gpt-6-sol-repository-0-routing,repository,routing,7,27546,26752,206,50,27752
gpt-6-sol-repository-0-bare,repository,bare,1,14774,8320,204,38,14978
gpt-6-sol-repository-0-bare,repository,bare,2,15814,14592,136,8,15950
gpt-6-sol-repository-0-bare,repository,bare,3,24653,15616,250,11,24903
gpt-6-sol-repository-0-bare,repository,bare,4,25830,24448,2028,679,27858
gpt-6-sol-repository-0-bare,repository,bare,5,27973,27648,200,0,28173
gpt-6-sol-repository-0-bare,repository,bare,6,29740,27776,909,191,30649
gpt-6-sol-repository-0-bare,repository,bare,7,30673,29568,296,60,30969
gpt-6-sol-repository-0-bare,repository,bare,8,31099,30464,200,20,31299
