id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-sol-cross_file-0-bare,cross_file,bare,1,14698,8320,157,12,14855
gpt-6-sol-cross_file-0-bare,cross_file,bare,2,15051,14464,120,11,15171
gpt-6-sol-cross_file-0-bare,cross_file,bare,3,15943,14848,1276,847,17219
gpt-6-sol-cross_file-0-bare,cross_file,bare,4,17296,15744,475,11,17771
gpt-6-sol-cross_file-0-bare,cross_file,bare,5,17795,17152,2686,695,20481
gpt-6-sol-cross_file-0-bare,cross_file,bare,6,20505,17664,148,9,20653
gpt-6-sol-cross_file-0-bare,cross_file,bare,7,21442,20352,437,249,21879
gpt-6-sol-cross_file-0-combined,cross_file,combined,1,15628,0,177,24,15805
gpt-6-sol-cross_file-0-combined,cross_file,combined,2,15983,15488,115,0,16098
gpt-6-sol-cross_file-0-combined,cross_file,combined,3,16613,15872,860,352,17473
gpt-6-sol-cross_file-0-combined,cross_file,combined,4,17497,16512,1337,109,18834
gpt-6-sol-cross_file-0-combined,cross_file,combined,5,18858,17408,129,39,18987
gpt-6-sol-cross_file-0-combined,cross_file,combined,6,19560,18688,314,94,19874
gpt-6-sol-cross_file-0-combined,cross_file,combined,7,19898,19456,339,34,20237
gpt-6-sol-cross_file-0-combined,cross_file,combined,8,20261,19712,130,0,20391
gpt-6-sol-cross_file-0-combined,cross_file,combined,9,21319,0,284,101,21603
gpt-6-sol-incident-0-combined,incident,combined,1,15740,0,217,0,15957
gpt-6-sol-incident-0-combined,incident,combined,2,15991,15616,231,42,16222
gpt-6-sol-incident-0-combined,incident,combined,3,16342,15872,81,0,16423
gpt-6-sol-incident-0-combined,incident,combined,4,26906,16256,95,9,27001
gpt-6-sol-incident-0-combined,incident,combined,5,27249,26752,687,45,27936
gpt-6-sol-incident-0-combined,incident,combined,6,27960,27136,205,0,28165
gpt-6-sol-incident-0-combined,incident,combined,7,28197,27904,146,0,28343
gpt-6-sol-incident-0-bare,incident,bare,1,14811,8320,271,24,15082
gpt-6-sol-incident-0-bare,incident,bare,2,15116,14592,239,32,15355
gpt-6-sol-incident-0-bare,incident,bare,3,22944,14976,99,13,23043
gpt-6-sol-incident-0-bare,incident,bare,4,23291,22784,777,174,24068
gpt-6-sol-incident-0-bare,incident,bare,5,24092,23168,427,58,24519
gpt-6-sol-incident-0-bare,incident,bare,6,24706,23936,172,0,24878
gpt-6-sol-cross_file-1-combined,cross_file,combined,1,15624,0,190,22,15814
gpt-6-sol-cross_file-1-combined,cross_file,combined,2,16160,15488,106,0,16266
gpt-6-sol-cross_file-1-combined,cross_file,combined,3,16868,16000,974,442,17842
gpt-6-sol-cross_file-1-combined,cross_file,combined,4,17866,16768,1354,128,19220
gpt-6-sol-cross_file-1-combined,cross_file,combined,5,19244,17664,91,7,19335
gpt-6-sol-cross_file-1-combined,cross_file,combined,6,19456,19072,97,52,19553
gpt-6-sol-cross_file-1-combined,cross_file,combined,7,19752,19328,125,6,19877
gpt-6-sol-cross_file-1-combined,cross_file,combined,8,19901,19584,140,6,20041
gpt-6-sol-cross_file-1-combined,cross_file,combined,9,20321,19712,283,0,20604
gpt-6-sol-cross_file-1-combined,cross_file,combined,10,20628,20224,134,0,20762
gpt-6-sol-cross_file-1-bare,cross_file,bare,1,14691,0,146,11,14837
gpt-6-sol-cross_file-1-bare,cross_file,bare,2,15125,14464,103,14,15228
gpt-6-sol-cross_file-1-bare,cross_file,bare,3,15731,14976,1123,568,16854
gpt-6-sol-cross_file-1-bare,cross_file,bare,4,16878,15616,63,14,16941
gpt-6-sol-cross_file-1-bare,cross_file,bare,5,17185,0,1749,402,18934
gpt-6-sol-cross_file-1-bare,cross_file,bare,6,18958,17024,85,8,19043
gpt-6-sol-cross_file-1-bare,cross_file,bare,7,19324,16640,702,295,20026
gpt-6-sol-cross_file-1-bare,cross_file,bare,8,20050,19200,210,107,20260
gpt-6-sol-cross_file-1-bare,cross_file,bare,9,21173,19840,277,73,21450
gpt-6-sol-cross_file-1-bare,cross_file,bare,10,21474,20992,109,29,21583
gpt-6-sol-cross_file-1-bare,cross_file,bare,11,21878,21248,194,13,22072
gpt-6-sol-incident-1-bare,incident,bare,1,14812,8320,194,29,15006
gpt-6-sol-incident-1-bare,incident,bare,2,22503,14592,98,10,22601
gpt-6-sol-incident-1-bare,incident,bare,3,22857,22272,766,163,23623
gpt-6-sol-incident-1-bare,incident,bare,4,23647,22656,316,24,23963
gpt-6-sol-incident-1-bare,incident,bare,5,24437,23424,230,60,24667
gpt-6-sol-incident-1-combined,incident,combined,1,15733,4352,238,11,15971
gpt-6-sol-incident-1-combined,incident,combined,2,16005,15616,109,9,16114
gpt-6-sol-incident-1-combined,incident,combined,3,16268,15872,54,9,16322
gpt-6-sol-incident-1-combined,incident,combined,4,26806,4352,55,9,26861
gpt-6-sol-incident-1-combined,incident,combined,5,27109,26624,659,71,27768
gpt-6-sol-incident-1-combined,incident,combined,6,27792,27008,142,0,27934
gpt-6-sol-incident-1-combined,incident,combined,7,27974,27648,164,0,28138
