id,model,task,repeat,arm,startedAt,status,passed,wallMs,startupMs,totalMs,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,uncachedInputTokens,generations,jevCalls,jevFailures,jevUnknownUsage,jevInputTokens,jevOutputTokens,jevRequestMs,routerDecisions,routerDecisionMs,startChanges,nativeAppliedChanges,nativeRestores,preparedOutputs,evidenceOperations,recalls,hookSubmissions,knownAllModelTokens,budgetHeldDecisions,recommendedChanges,knownJevInputUsdEstimate,usageNotifications,duplicateUsageNotifications,firstInputTokens,historyGrowthTokens,commands,identicalCommandRepeats,observedToolSpanUnionMs,nativeCommandDurationUsable
gpt-6-astra-cross_file-0-bare,gpt-6-astra,cross_file,0,bare,2026-09-24T04:26:15.739Z,completed,True,160342,87,160429,119579,93184,4803,471,124382,26395,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124382,0,0,0.0,6,0,15140,28739,7,0,295.392,False
gpt-6-astra-cross_file-0-combined,gpt-6-astra,cross_file,0,combined,2026-09-24T04:28:56.308Z,completed,True,112654,206,112860,110197,88320,3145,146,113342,21877,6,4,0,0,7445,424,2495,4,2652,0,1,0,0,0,0,0,121211,0,1,0.00031269,6,0,16065,13807,4,0,204.849,False
gpt-6-astra-incident-0-combined,gpt-6-astra,incident,0,combined,2026-09-24T04:30:49.312Z,completed,True,137537,204,137741,139983,124928,1531,13,141514,15055,6,9,0,0,60567,4385,7088,4,2911,0,0,0,1,1,0,0,206466,0,0,0.002543814,6,0,16188,42855,5,0,2696.075,False
gpt-6-astra-incident-0-bare,gpt-6-astra,incident,0,bare,2026-09-24T04:33:07.135Z,completed,True,61051,67,61118,110636,67200,1422,0,112058,43436,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112058,0,0,0.0,5,0,15267,34301,4,0,119.926,False
gpt-6-astra-semantic-0-bare,gpt-6-astra,semantic,0,bare,2026-09-24T04:34:08.329Z,completed,True,46900,71,46971,104425,77952,1064,42,105489,26473,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105489,0,0,0.0,5,0,15144,28705,4,0,62.277,False
gpt-6-astra-semantic-0-combined,gpt-6-astra,semantic,0,combined,2026-09-24T04:34:55.373Z,completed,True,83864,198,84062,140968,92672,1429,48,142397,48296,6,12,0,0,60995,5515,8220,6,4585,0,1,0,1,1,0,0,208907,0,1,0.00256179,6,0,16072,44536,5,0,2007.843,False
gpt-6-astra-cross_file-1-combined,gpt-6-astra,cross_file,1,combined,2026-09-24T04:36:19.521Z,completed,True,126278,198,126476,114420,91648,3594,190,118014,22772,6,5,0,0,9427,530,3066,5,3274,0,1,0,0,0,0,0,127971,0,1,0.000395934,6,0,16076,17964,5,0,178.363,False
gpt-6-astra-cross_file-1-bare,gpt-6-astra,cross_file,1,bare,2026-09-24T04:38:26.127Z,completed,True,144023,69,144092,127490,112384,4314,327,131804,15106,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131804,0,0,0.0,7,0,15141,21503,8,0,309.402,False
gpt-6-astra-incident-1-bare,gpt-6-astra,incident,1,bare,2026-09-24T04:40:50.357Z,completed,True,85126,74,85200,138763,109440,2388,12,141151,29323,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141151,0,0,0.0,6,0,15254,47239,4,0,116.526,False
gpt-6-astra-incident-1-combined,gpt-6-astra,incident,1,combined,2026-09-24T04:42:15.633Z,completed,True,67725,210,67935,135220,105984,1678,18,136898,29236,6,9,0,0,60582,4385,6908,4,2789,0,0,0,1,1,0,0,201865,0,0,0.002544444,6,0,16179,38146,5,0,2610.646,False
gpt-6-astra-semantic-1-combined,gpt-6-astra,semantic,1,combined,2026-09-24T04:43:23.653Z,completed,True,68312,201,68513,144747,92416,1608,44,146355,52331,6,12,0,0,60573,5515,8549,6,4239,0,1,1,1,1,0,0,212443,0,1,0.002544066,6,0,16082,48255,7,0,2464.108,False
gpt-6-astra-semantic-1-bare,gpt-6-astra,semantic,1,bare,2026-09-24T04:44:32.251Z,completed,True,59905,71,59976,131598,112896,1411,58,133009,18702,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133009,0,0,0.0,6,0,15164,40614,5,0,59.251,False
