id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-sol-incident-0-bare,incident,bare,1,14804,8320,243,13,15047
gpt-6-sol-incident-0-bare,incident,bare,2,15202,14592,96,12,15298
gpt-6-sol-incident-0-bare,incident,bare,3,25784,14976,98,11,25882
gpt-6-sol-incident-0-bare,incident,bare,4,26138,25600,847,133,26985
gpt-6-sol-incident-0-bare,incident,bare,5,27025,8320,590,14,27615
gpt-6-sol-incident-0-bare,incident,bare,6,27639,26880,491,95,28130
gpt-6-sol-incident-0-bare,incident,bare,7,28268,27520,183,24,28451
gpt-6-sol-incident-0-combined,incident,combined,1,15843,0,149,26,15992
gpt-6-sol-incident-0-combined,incident,combined,2,19375,0,56,8,19431
gpt-6-sol-incident-0-combined,incident,combined,3,19687,19200,516,28,20203
gpt-6-sol-incident-0-combined,incident,combined,4,20227,19584,205,19,20432
gpt-6-sol-incident-0-combined,incident,combined,5,20473,20096,144,0,20617
gpt-6-sol-incident-1-combined,incident,combined,1,15827,0,178,16,16005
gpt-6-sol-incident-1-combined,incident,combined,2,19001,15616,70,22,19071
gpt-6-sol-incident-1-combined,incident,combined,3,19327,18816,705,19,20032
gpt-6-sol-incident-1-combined,incident,combined,4,20073,19200,140,0,20213
gpt-6-sol-incident-1-bare,incident,bare,1,14812,8320,168,11,14980
gpt-6-sol-incident-1-bare,incident,bare,2,25480,14592,108,22,25588
gpt-6-sol-incident-1-bare,incident,bare,3,25836,25344,616,73,26452
gpt-6-sol-incident-1-bare,incident,bare,4,26476,25600,307,51,26783
gpt-6-sol-incident-1-bare,incident,bare,5,27202,26240,182,10,27384
