id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-sol-cross_file-0-bare,cross_file,bare,1,14698,0,177,12,14875
gpt-6-sol-cross_file-0-bare,cross_file,bare,2,15210,14464,140,7,15350
gpt-6-sol-cross_file-0-bare,cross_file,bare,3,16074,14976,1197,675,17271
gpt-6-sol-cross_file-0-bare,cross_file,bare,4,17295,0,1939,556,19234
gpt-6-sol-cross_file-0-bare,cross_file,bare,5,19258,17152,125,7,19383
gpt-6-sol-cross_file-0-bare,cross_file,bare,6,20324,19072,714,268,21038
gpt-6-sol-cross_file-0-bare,cross_file,bare,7,21062,20096,269,178,21331
gpt-6-sol-cross_file-0-bare,cross_file,bare,8,22022,20864,148,19,22170
gpt-6-sol-cross_file-0-combined,cross_file,combined,1,15628,4352,175,22,15803
gpt-6-sol-cross_file-0-combined,cross_file,combined,2,16126,15488,120,7,16246
gpt-6-sol-cross_file-0-combined,cross_file,combined,3,16663,16000,487,335,17150
gpt-6-sol-cross_file-0-combined,cross_file,combined,4,17251,16512,570,107,17821
gpt-6-sol-cross_file-0-combined,cross_file,combined,5,17845,17152,1240,153,19085
gpt-6-sol-cross_file-0-combined,cross_file,combined,6,19109,17664,166,8,19275
gpt-6-sol-cross_file-0-combined,cross_file,combined,7,19532,18944,304,0,19836
gpt-6-sol-cross_file-0-combined,cross_file,combined,8,19860,19456,171,0,20031
gpt-6-sol-incident-0-combined,incident,combined,1,15843,0,201,24,16044
gpt-6-sol-incident-0-combined,incident,combined,2,17448,15744,136,88,17584
gpt-6-sol-incident-0-combined,incident,combined,3,17840,0,596,8,18436
gpt-6-sol-incident-0-combined,incident,combined,4,18471,17664,153,0,18624
gpt-6-sol-incident-0-bare,incident,bare,1,14798,8320,259,12,15057
gpt-6-sol-incident-0-bare,incident,bare,2,15259,14592,140,21,15399
gpt-6-sol-incident-0-bare,incident,bare,3,25799,15104,69,23,25868
gpt-6-sol-incident-0-bare,incident,bare,4,26116,25600,711,110,26827
gpt-6-sol-incident-0-bare,incident,bare,5,26851,25984,340,60,27191
gpt-6-sol-incident-0-bare,incident,bare,6,27816,26624,218,73,28034
gpt-6-sol-repository-0-bare,repository,bare,1,14780,8320,134,21,14914
gpt-6-sol-repository-0-bare,repository,bare,2,15615,14592,150,8,15765
gpt-6-sol-repository-0-bare,repository,bare,3,23994,15488,92,11,24086
gpt-6-sol-repository-0-bare,repository,bare,4,24175,23808,112,0,24287
gpt-6-sol-repository-0-bare,repository,bare,5,24805,23936,231,63,25036
gpt-6-sol-repository-0-bare,repository,bare,6,25323,24576,1185,226,26508
gpt-6-sol-repository-0-bare,repository,bare,7,26532,25088,364,124,26896
gpt-6-sol-repository-0-bare,repository,bare,8,27570,26368,261,80,27831
gpt-6-sol-repository-0-combined,repository,combined,1,15716,9088,170,20,15886
gpt-6-sol-repository-0-combined,repository,combined,2,16220,15616,158,15,16378
gpt-6-sol-repository-0-combined,repository,combined,3,19418,16128,132,12,19550
gpt-6-sol-repository-0-combined,repository,combined,4,19972,19328,1241,109,21213
gpt-6-sol-repository-0-combined,repository,combined,5,21237,19840,54,0,21291
gpt-6-sol-repository-0-combined,repository,combined,6,21322,21120,161,0,21483
gpt-6-sol-semantic-0-combined,semantic,combined,1,15732,0,145,23,15877
gpt-6-sol-semantic-0-combined,semantic,combined,2,22022,15616,47,14,22069
gpt-6-sol-semantic-0-combined,semantic,combined,3,22675,21888,101,7,22776
gpt-6-sol-semantic-0-combined,semantic,combined,4,22839,22528,242,51,23081
gpt-6-sol-semantic-0-combined,semantic,combined,5,24345,22656,249,131,24594
gpt-6-sol-semantic-0-combined,semantic,combined,6,26544,24192,286,33,26830
gpt-6-sol-semantic-0-combined,semantic,combined,7,26854,26368,115,48,26969
gpt-6-sol-semantic-0-combined,semantic,combined,8,27211,26752,76,0,27287
gpt-6-sol-semantic-0-bare,semantic,bare,1,14701,0,227,16,14928
gpt-6-sol-semantic-0-bare,semantic,bare,2,14962,14464,187,10,15149
gpt-6-sol-semantic-0-bare,semantic,bare,3,15307,14720,85,7,15392
gpt-6-sol-semantic-0-bare,semantic,bare,4,23153,15104,256,39,23409
gpt-6-sol-semantic-0-bare,semantic,bare,5,24663,22912,411,77,25074
gpt-6-sol-semantic-0-bare,semantic,bare,6,25098,24448,443,49,25541
gpt-6-sol-semantic-0-bare,semantic,bare,7,25935,24960,87,0,26022
gpt-6-sol-cross_file-1-combined,cross_file,combined,1,15626,0,173,24,15799
gpt-6-sol-cross_file-1-combined,cross_file,combined,2,16002,15488,88,0,16090
gpt-6-sol-cross_file-1-combined,cross_file,combined,3,16660,15872,938,418,17598
gpt-6-sol-cross_file-1-combined,cross_file,combined,4,17622,16512,1461,172,19083
gpt-6-sol-cross_file-1-combined,cross_file,combined,5,19107,17536,152,77,19259
gpt-6-sol-cross_file-1-combined,cross_file,combined,6,19544,18944,437,56,19981
gpt-6-sol-cross_file-1-combined,cross_file,combined,7,20005,19456,30,0,20035
gpt-6-sol-cross_file-1-combined,cross_file,combined,8,20088,19840,125,0,20213
gpt-6-sol-cross_file-1-bare,cross_file,bare,1,14698,8320,167,12,14865
gpt-6-sol-cross_file-1-bare,cross_file,bare,2,15275,14464,138,8,15413
gpt-6-sol-cross_file-1-bare,cross_file,bare,3,15942,15104,1045,534,16987
gpt-6-sol-cross_file-1-bare,cross_file,bare,4,17011,15744,1884,504,18895
gpt-6-sol-cross_file-1-bare,cross_file,bare,5,18919,16896,112,8,19031
gpt-6-sol-cross_file-1-bare,cross_file,bare,6,19900,18688,531,98,20431
gpt-6-sol-cross_file-1-bare,cross_file,bare,7,20455,19712,418,307,20873
gpt-6-sol-cross_file-1-bare,cross_file,bare,8,21255,20224,214,24,21469
gpt-6-sol-incident-1-bare,incident,bare,1,14803,8320,271,22,15074
gpt-6-sol-incident-1-bare,incident,bare,2,15108,14592,217,12,15325
gpt-6-sol-incident-1-bare,incident,bare,3,15527,14976,160,41,15687
gpt-6-sol-incident-1-bare,incident,bare,4,26087,15360,63,15,26150
gpt-6-sol-incident-1-bare,incident,bare,5,26406,25856,762,153,27168
gpt-6-sol-incident-1-bare,incident,bare,6,27192,26240,312,25,27504
gpt-6-sol-incident-1-bare,incident,bare,7,28131,27008,184,17,28315
gpt-6-sol-incident-1-combined,incident,combined,1,15841,0,177,10,16018
gpt-6-sol-incident-1-combined,incident,combined,2,17522,15744,78,45,17600
gpt-6-sol-incident-1-combined,incident,combined,3,18206,17408,92,0,18298
gpt-6-sol-incident-1-combined,incident,combined,4,18361,18048,225,57,18586
gpt-6-sol-incident-1-combined,incident,combined,5,20170,18176,492,0,20662
gpt-6-sol-incident-1-combined,incident,combined,6,20736,20096,160,0,20896
gpt-6-sol-repository-1-combined,repository,combined,1,15705,0,150,30,15855
gpt-6-sol-repository-1-combined,repository,combined,2,16828,15616,125,17,16953
gpt-6-sol-repository-1-combined,repository,combined,3,20049,16640,113,12,20162
gpt-6-sol-repository-1-combined,repository,combined,4,20484,19840,1177,86,21661
gpt-6-sol-repository-1-combined,repository,combined,5,21685,20352,58,0,21743
gpt-6-sol-repository-1-combined,repository,combined,6,21777,21632,151,0,21928
gpt-6-sol-repository-1-bare,repository,bare,1,14767,0,378,21,15145
gpt-6-sol-repository-1-bare,repository,bare,2,23596,14592,285,10,23881
gpt-6-sol-repository-1-bare,repository,bare,3,24598,8320,376,11,24974
gpt-6-sol-repository-1-bare,repository,bare,4,25813,24448,1314,195,27127
gpt-6-sol-repository-1-bare,repository,bare,5,27151,25600,401,46,27552
gpt-6-sol-repository-1-bare,repository,bare,6,28359,27008,326,176,28685
gpt-6-sol-repository-1-bare,repository,bare,7,28742,28160,322,29,29064
gpt-6-sol-repository-1-bare,repository,bare,8,29198,28544,550,177,29748
gpt-6-sol-repository-1-bare,repository,bare,9,29772,29056,325,45,30097
gpt-6-sol-repository-1-bare,repository,bare,10,30168,29568,158,0,30326
gpt-6-sol-semantic-1-bare,semantic,bare,1,14715,8320,242,24,14957
gpt-6-sol-semantic-1-bare,semantic,bare,2,14991,14592,206,15,15197
gpt-6-sol-semantic-1-bare,semantic,bare,3,15601,14848,96,8,15697
gpt-6-sol-semantic-1-bare,semantic,bare,4,23460,15360,260,39,23720
gpt-6-sol-semantic-1-bare,semantic,bare,5,24972,23296,187,108,25159
gpt-6-sol-semantic-1-bare,semantic,bare,6,25183,24832,361,145,25544
